date,close,diff,start,high,low,volume,sumPos,sumNeg,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2021-01-06,131000,500,132500,137000,130000,8525749,32.76843668826,33.31485096805,129166.66666666667,122214.28571428571,119066.66666666667,112676.66666666667,128534.07557152129,124150.85359280383,119654.65237334643,113085.12144664726,101.41935483870968,107.18877849210988,110.02239641657334,116.26187024820283,0.2615384615384615,98.03667148199722,615.61833694097
2021-01-07,134500,3500,132500,137500,131500,5981299,30.512174295027272,25.791536990918186,132000.0,124571.42857142857,120333.33333333333,113933.33333333333,131517.03778576065,126738.14019460288,121510.32091819793,114467.03629618927,101.8939393939394,107.97018348623854,111.77285318559558,118.05149210064366,0.24637681159420288,105.90289987575315,964.9499802230657
2021-01-08,138000,3500,136000,138000,132500,8713010,26.018482268916667,26.78314419255,134500.0,127785.71428571429,121733.33333333333,115200.0,134758.51889288033,129553.60514595215,123571.53089237299,115985.61047295592,102.60223048327137,107.99329234209054,113.36254107338446,119.79166666666667,0.22666666666666666,113.07007902395135,1301.5358400317937
2021-01-11,133000,-5000,138000,140000,131000,11154671,29.64328570873,35.84463987404,135166.66666666666,130214.28571428571,122766.66666666667,116346.66666666667,133879.25944644015,130415.20385946412,124750.08957532862,117083.52840875513,98.39704069050555,102.13933077345037,108.3355959815368,114.31354572541828,0.3176470588235294,96.45277482125562,1067.099297096861
2021-01-12,129000,-4000,132000,133500,125500,8700877,23.78491274345,28.137264827275004,133333.33333333334,131714.2857142857,123533.33333333333,117406.66666666667,131439.62972322007,130061.4028945981,125281.32839596462,117852.47414440927,96.74999999999999,97.93926247288503,104.42525634106855,109.87451024927601,0.38461538461538464,57.00330884911519,548.4282983371877
2021-01-13,133000,4000,129000,133500,128500,6791044,29.0104690481875,28.557754667212507,131666.66666666666,132714.2857142857,124500.0,118526.66666666667,132219.81486161004,130796.05217094858,126246.16237436232,118829.90168171954,101.0126582278481,100.21528525296017,106.82730923694778,112.21103549130997,0.3191489361702128,70.74348683762999,388.06350230754197
2021-01-14,130500,-2500,132500,133000,129000,5380278,27.032235028,34.4327714177,130833.33333333333,132714.2857142857,125466.66666666667,119583.33333333333,131359.90743080503,130722.03912821143,126777.89209101775,119582.9321902064,99.7452229299363,98.33153928955866,104.01168969181722,109.12891986062718,0.30434782608695654,59.84000741380619,45.00222288135683
2021-01-15,127500,-3000,133000,135000,127000,4838114,27.388995477225,29.021059010299997,130333.33333333333,132214.2857142857,126466.66666666667,120583.33333333333,129429.95371540252,129916.52934615857,126868.15558163844,120093.78751064315,97.82608695652173,96.43435980551054,100.8170795993674,105.73600552868004,0.37362637362637363,48.369576356295234,-426.59642004351826
2021-01-18,130000,2500,126000,131000,125000,5927419,33.470158613550005,32.0862540346,129333.33333333333,131571.42857142858,127400.0,121566.66666666667,129714.97685770126,129937.39700961893,127259.63614151558,120732.98783293436,100.51546391752578,98.80564603691639,102.04081632653062,106.93720866465588,0.3695652173913043,35.293242194559326,-602.0804444787536
2021-01-19,130500,500,131000,132000,128500,4513315,39.0217379542,38.32767122747501,129333.33333333333,130500.0,128233.33333333333,122283.33333333333,130107.48842885063,130078.0477572142,127664.68163069023,121363.20051149075,100.9020618556701,100.0,101.76761112555239,106.71936758893281,0.32954545454545453,45.626542363586516,-709.025172567538
2021-01-20,130500,0,134000,135000,130000,4913282,21.1775615446,24.016262934150003,130333.33333333333,130142.85714285714,129233.33333333333,122916.66666666667,130303.74421442531,130183.53581791066,128019.09643210928,121952.74395939903,100.12787723785166,100.27442371020857,100.98013928295073,106.16949152542372,0.3333333333333333,54.0352686629075,-797.696397718285
2021-01-21,131500,1000,131500,133000,130000,3067677,28.53082308532857,32.95583247091429,130833.33333333333,130500.0,130266.66666666667,123466.66666666667,130901.87210721266,130512.651863433,128454.20938374105,122568.76684373047,100.50955414012739,100.76628352490422,100.9467758444217,106.50647948164146,0.34523809523809523,44.55703073756588,-804.6317396123377
2021-01-22,128500,-3000,131500,132000,128500,3927767,28.6972980301,33.9032678646,130166.66666666667,129857.14285714286,130933.33333333333,123816.66666666667,129700.93605360633,130009.48889757475,128459.93321083841,122951.46824133614,98.71959026888604,98.95489548954896,98.14154786150712,103.78247408803338,0.4666666666666667,20.73519117619246,-1013.4034118678892
2021-01-25,135000,6500,130000,135000,129500,5061864,25.80782538565001,29.433962688700007,131666.66666666666,130500.0,131533.33333333334,124483.33333333333,132350.46802680317,131257.11667318107,129277.44156760449,123728.87115188378,102.53164556962027,103.44827586206897,102.63558033451596,108.4482527781497,0.4430379746835443,43.760068937094815,-729.1744862388787
2021-01-26,129000,-6000,134000,134000,128500,6270106,24.24608876646,31.51215424837999,130833.33333333333,130714.28571428571,131433.33333333334,124766.66666666667,130675.23401340158,130692.8375048858,129242.76137135249,124068.9760183308,98.59872611464968,98.68852459016394,98.14861780370275,103.39300026716538,0.5222222222222221,14.187660569807038,-946.883605745873
2021-01-27,128500,-500,129500,132000,127500,5068456,22.7475051653,30.612799708225005,130833.33333333333,130500.0,131266.66666666666,125166.66666666667,129587.61700670079,130144.62812866435,129149.91619922729,124354.87372705205,98.21656050955414,98.46743295019157,97.8923311325546,102.6631158455393,0.5714285714285714,-2.4383145740421295,-1114.6371070878658
2021-01-28,123000,-5500,124000,125500,121500,6270829,31.536650040633347,44.82693738546667,126833.33333333333,129428.57142857143,130500.0,125416.66666666667,126293.80850335039,128358.47109649827,128381.17666920806,124267.45531239815,96.97766097240473,95.03311258278146,94.25287356321839,98.07308970099668,0.6704545454545454,-66.51002466902055,-1558.8276047846211
2021-01-29,122500,-500,128500,128500,121500,7391307,28.705474865159992,27.11806682251,124666.66666666667,128285.71428571429,129466.66666666667,125600.0,124396.9042516752,126893.8533223737,127646.02958127632,124153.41714302094,98.26203208556149,95.48997772828508,94.61894953656025,97.53184713375796,0.6329113924050633,-65.70695234906815,-1830.362760923811
2021-02-01,125000,2500,121000,126000,118000,5620305,40.38764880441666,28.044297395975,123500.0,127357.14285714286,128933.33333333333,125850.0,124698.45212583759,126420.38999178028,127315.27588193156,124208.03933244226,101.21457489878543,98.1491867638811,96.9493278179938,99.32459276916966,0.5526315789473685,-88.35772108582954,-1783.8248055149575
2021-02-02,130000,5000,128500,132500,127000,4880067,35.01291072643334,32.44162624719999,125833.33333333333,127571.42857142857,129000.0,126266.66666666667,127349.2260629188,127315.29249383521,127650.86639818625,124581.73943456395,103.31125827814569,101.9036954087346,100.7751937984496,102.95670538542767,0.5384615384615384,-5.738716249175129,-1376.7566543943194
2021-02-03,130000,0,131000,131500,128500,3693688,36.94713982675,46.2731839285375,128333.33333333333,126857.14285714286,128800.0,126650.0,128674.61303145939,127986.4693703764,127944.50809955844,124931.32670321646,101.2987012987013,102.47747747747749,100.93167701863355,102.6450848795894,0.5068493150684932,-1.8849506883436788,-1081.000252720416
2021-02-04,125000,-5000,127500,128500,124000,4600618,30.634116830042853,27.659135670557134,128333.33333333333,126285.71428571429,128433.33333333333,126950.0,126837.3065157297,127239.85202778231,127576.44458585732,124935.75750017988,97.40259740259741,98.98190045248867,97.32675837010122,98.46396218983851,0.5324675324675324,-80.69164265129689,-1187.1365252883475
2021-02-05,127500,2500,126500,128000,124500,3497303,35.84235847542,34.453165355340005,127500.0,126142.85714285714,128433.33333333333,127450.0,127168.65325786485,127304.88902083674,127566.88901259661,125101.20164105,100.0,101.07587768969421,99.27329353750325,100.03923107100823,0.5324675324675324,-74.87878229914664,-1058.2749649156858
2021-02-08,125000,-2500,127500,128000,125000,2876471,29.871105694690904,33.84649874692727,125833.33333333333,126428.57142857143,128100.0,127750.0,126084.32662893242,126728.66676562755,127246.02788518352,125094.6721654352,99.33774834437087,98.87005649717514,97.5800156128025,97.84735812133071,0.5679012345679012,-127.07498568975392,-1105.5492855266734
2021-02-09,125500,500,127500,130000,125000,5177095,20.73692839300001,22.4008608278,126000.0,126857.14285714286,127766.66666666667,128000.0,125792.16331446622,126421.50007422066,127027.77439903651,125120.82361277018,99.60317460317461,98.93018018018019,98.22593268979911,98.046875,0.5609756097560976,-122.38596491227895,-1066.7731685855028
2021-02-10,126000,500,125500,127000,124500,4262526,24.17833282956,24.90991805134,125500.0,127000.0,127466.66666666667,128350.0,125896.08165723311,126316.1250556655,126899.3025988999,125177.54723573267,100.39840637450199,99.21259842519686,98.84937238493724,98.16906895208415,0.5679012345679012,-412.244897959182,-973.6636023390506
2021-02-15,132000,6000,130000,132500,130000,5384526,38.00472956637501,35.768721412525,127833.33333333333,127285.71428571429,127500.0,128883.33333333333,128948.04082861656,127737.09379174912,127536.88977515366,125617.72410413965,103.25945241199479,103.7037037037037,103.5294117647059,102.41820768136559,0.45977011494252873,1107.646622123226,-498.1664201454878
2021-02-16,132500,500,132500,134000,130500,3218689,28.217152554566663,31.288075542733328,130166.66666666667,127642.85714285714,127766.66666666667,129350.0,130724.02041430828,128927.82034381185,128157.27855420981,126061.75948050982,101.79257362355953,103.80526021264689,103.70466997130185,102.43525318902202,0.5333333333333334,3068.6767169178283,-157.78125618141212
2021-02-17,130000,-2500,131000,131000,128000,3621178,15.5572147363,25.10314588994,131500.0,128357.14285714286,127433.33333333333,129483.33333333333,130362.01020715415,129195.8652578589,128387.61873524234,126315.84892297491,98.85931558935361,101.27991096271565,102.01412503269684,100.39902175312139,0.4852941176470589,-1053.892215568928,-111.01722798517903
2021-02-18,126000,-4000,128500,130000,125500,3792425,44.815654855766645,33.667143738849994,129500.0,128142.85714285714,127233.33333333333,129333.33333333333,128181.00510357707,128396.89894339418,128089.16639298701,126295.47086718868,97.2972972972973,98.32775919732441,99.03065234477339,97.42268041237114,0.5333333333333334,211.347517730499,-346.2135855413824
2021-02-19,133000,7000,129000,133000,128500,6986526,30.608236629649998,22.96665039685,129666.66666666667,129285.71428571429,127533.33333333333,129400.0,130590.50255178854,129547.67420754563,128703.0205944936,126728.03515155481,102.57069408740361,102.87292817679558,104.28646105593309,102.7820710973725,0.3717948717948718,-385.52971576227725,-43.0288798127458
2021-02-22,136500,3500,136000,139500,135000,7961516,28.347014510799998,24.89931051896249,131833.33333333334,130857.14285714286,128433.33333333333,129466.66666666667,133545.25127589426,131285.75565565922,129677.64302105707,127358.50360952505,103.53982300884954,104.31222707423582,106.28082014015054,105.43254376931,0.3333333333333333,-1513.4317063942647,358.44688931431006
2021-02-23,138500,2000,133500,140000,131500,6400037,24.9629071217,36.8931579178,136000.0,132642.85714285713,129500.0,129483.33333333333,136022.62563794712,133089.3167417444,130780.4376442914,128077.33021388331,101.83823529411764,104.41572428648358,106.94980694980696,106.96357317544086,0.3373493975903615,-5164.556962025421,703.9406869829318
2021-02-24,136000,-2500,137500,143500,134000,9074809,29.43802654852857,32.83481139758572,137000.0,133214.2857142857,130233.33333333333,129583.33333333333,136011.31281897356,133816.9875563083,131432.88293920355,128588.48376095027,99.27007299270073,102.0911528150134,104.42794983363196,104.95176848874598,0.42307692307692313,6570.972886762131,707.4522471353696
2021-02-25,148500,12500,141000,149500,140000,9936495,31.923213113737503,34.3642019621,141000.0,135500.0,131466.66666666666,130233.33333333333,142255.65640948678,137487.74066723124,133566.27257308646,129873.12959460562,105.31914893617021,109.59409594095942,112.95638945233266,114.0261069874584,0.32038834951456313,1316.8469860896387,1452.0800616392858
2021-02-26,141500,-7000,143500,145000,138000,10843268,29.26916801014615,37.22160451505384,142000.0,137142.85714285713,132233.33333333334,130516.66666666667,141877.8282047434,138490.80550042342,134557.98850197266,130623.26768197959,99.64788732394366,103.17708333333336,107.0078144693723,108.41527263440173,0.34579439252336447,530.7285307285291,1374.4419547604666
2021-03-02,144500,3000,149000,150500,141000,9376523,32.24842732473333,26.92562552476667,144833.33333333334,139785.7142857143,133533.33333333334,130983.33333333333,143188.9141023717,139993.10412531756,135800.73993979848,131518.56017984252,99.76985040276179,103.37250894225856,108.21268097853218,110.31937905585953,0.3425925925925926,381.6204840406876,1420.534851338647
2021-03-03,147000,2500,142500,147000,139500,5827221,47.89502910508752,44.52839924438752,144333.33333333334,141785.7142857143,134833.33333333334,131633.33333333334,145094.45705118583,141744.82809398815,137200.64744788787,132517.383042982,101.84757505773672,103.67758186397984,109.02348578491964,111.6738414788554,0.29629629629629634,239.55147808358785,1506.6173248909336
2021-03-04,142000,-5000,143000,145500,139500,6586562,30.60574081055001,36.640240829,144500.0,142571.42857142858,135966.66666666666,132033.33333333334,143547.22852559292,141808.62107049112,137800.56651711342,133129.17641060776,98.26989619377161,99.59919839679358,104.43736209855356,107.5485988386771,0.358974358974359,141.44523101125105,1131.1871656803532
2021-03-05,140000,-2000,138000,141500,136500,6091444,20.095892070440005,25.228434467700005,143000.0,142785.7142857143,136933.33333333334,132350.0,141773.61426279647,141356.46580286833,138075.49570255907,133572.46323389985,97.9020979020979,98.04902451225612,102.23953261927944,105.78012844729882,0.38333333333333336,78.99622303309627,675.0446378310999
2021-03-08,135500,-4500,143000,143000,135500,5587787,30.05820413086,36.30320013764001,139166.66666666666,142714.2857142857,137566.66666666666,132516.66666666666,138636.80713139824,139892.34935215124,137753.55873965228,133696.82251317715,97.36526946107786,94.94494494494494,98.49769808577659,102.25128914601937,0.4700854700854701,50.32142966995754,31.14261409567871
2021-03-09,136500,1000,134000,137500,130500,7822152,26.51744763615,30.512954483366677,137333.33333333334,141000.0,137866.66666666666,132683.33333333334,137568.40356569912,139044.26201411342,137596.86389715874,133877.67548779902,99.39320388349515,96.80851063829788,99.00870406189556,102.8765230498681,0.46610169491525427,-2.956655431376164,-345.7638169382212
2021-03-11,137000,4000,134500,139000,134000,6707671,30.39847888368,27.474397372610003,136333.33333333334,140357.14285714287,138166.66666666666,132966.66666666666,137284.20178284956,138533.19651058505,137522.25590999846,134079.1187112563,100.48899755501222,97.60814249363867,99.1556091676719,103.03334168964653,0.43859649122807015,15.36622844459581,-566.6852029378838
2021-03-12,140000,3000,140500,142500,139500,4548695,42.105611274228586,41.10284889994284,137833.33333333334,139714.2857142857,138833.33333333334,133133.33333333334,138642.10089142478,138899.8973829388,137831.97392130469,134461.11625433745,101.57194679564692,100.20449897750512,100.84033613445378,105.15773660490734,0.375,55.88250888075912,-517.4217247705601
2021-03-15,136500,-3500,141500,142000,136000,4289990,35.15059799111428,37.645701640628566,137833.33333333334,138214.2857142857,139533.33333333334,133383.33333333334,137571.0504457124,138299.9230372041,137665.47718111528,134592.65881687528,99.03264812575574,98.75968992248062,97.82608695652173,102.33662376608773,0.4666666666666667,16.369392324916646,-715.0286943386945
2021-03-16,140500,4000,138500,140500,138000,3304561,22.865682978387504,22.047499967999997,139000.0,138000.0,140033.33333333334,133783.33333333334,139035.5252228562,138849.94227790306,138019.79253352492,134973.78214477972,101.07913669064747,101.81159420289856,100.33325398714592,105.0205556247664,0.46226415094339623,25.26523562792972,-576.7491727181059
2021-03-17,140000,-500,141000,141000,138500,2588319,26.105686515457148,29.95036320564285,139000.0,138000.0,140266.66666666666,134350.0,139517.7626114281,139137.4567084273,138267.31846686432,135298.0578795891,100.71942446043165,101.44927536231884,99.80988593155894,104.2054335690361,0.48543689320388356,22.54982663573562,-521.0557610979672
2021-03-18,142000,2000,142500,145000,141000,4426840,28.697908907215396,38.3977136329923,140833.33333333334,138928.57142857142,140500.0,135000.0,140758.88130571405,139853.09253132046,138733.90365855576,135730.44575158632,100.8284023668639,102.2107969151671,101.067615658363,105.18518518518518,0.4411764705882353,50.11559400402719,-359.31377963687464
2021-03-19,138000,-4000,138000,139500,137000,4015627,22.262593183150003,28.88653515632499,140000.0,139142.85714285713,140633.33333333334,135433.33333333334,139379.440652857,139389.81939849033,138642.1657012278,135876.870034867,98.57142857142858,99.17864476386038,98.12751836928182,101.89515136598573,0.6235294117647059,-8.794541319181562,-521.6678241656682
