date,close,diff,start,high,low,volume,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2021-02-05,40300,-650,41100,41100,39350,1209654,41416.666666666664,40900.0,41926.666666666664,40731.666666666664,40929.88330534684,41212.785786889144,41300.76379478144,40417.89999229445,97.30382293762577,98.53300733496333,96.12020989028463,98.94021850321208,0.5915032679738562,-71.33058984910821,-411.6785898776884
2021-02-08,40150,-150,40300,40900,39850,690908,40466.666666666664,40907.142857142855,41730.0,40901.666666666664,40539.94165267342,40947.089339965554,41156.90991598087,40400.482264637365,99.21746293245471,98.14911821197835,96.21375509225977,98.16225907664725,0.6548042704626335,-80.04418407400813,-442.88167651653885
2021-02-09,39800,-350,40300,40500,39700,645147,40083.333333333336,41142.857142857145,41416.666666666664,41033.333333333336,40169.97082633671,40660.317004811215,40987.28750528423,40361.46093741091,99.29313929313929,96.73611111111111,96.09657947686118,96.99431356620633,0.6510791366906474,-113.47839226352379,-470.04493768857037
2021-02-10,40700,900,39800,40700,38850,776556,40216.666666666664,40992.857142857145,41196.666666666664,41221.666666666664,40434.98541316835,40670.23775361264,40951.37496073679,40383.450054458604,101.2018234562785,99.28558982401114,98.79440084149203,98.73448429224115,0.5979020979020979,-139.4330934747972,-412.64414578349067
2021-02-15,40000,-700,40800,40800,39900,606408,40166.666666666664,40700.0,40963.333333333336,41363.333333333336,40217.49270658418,40502.67831515592,40832.44843595474,40358.55471044076,99.5850622406639,98.28009828009829,97.6483033607291,96.70400515754693,0.5907473309608541,-179.597119974111,-406.13341204267783
2021-02-16,40000,0,40050,40250,39550,545738,40233.333333333336,40271.42857142857,40793.333333333336,41436.666666666664,40108.74635329209,40377.008736336815,40728.38881775077,40335.28519192599,99.42004971002486,99.32600212841433,98.05523778395163,96.53286139489985,0.5833333333333333,-405.49717057396595,-386.38114513620224
2021-02-17,39400,-600,39850,39850,39000,792894,39800.0,40050.0,40600.0,41481.666666666664,39754.37317664604,40132.756552208695,40562.335239577726,40274.610138410964,98.99497487437185,98.37702871410737,97.04433497536947,94.98171883161235,0.5772058823529412,5782.799748901817,-396.6869947278549
2021-02-18,38400,-1000,39200,39600,38400,695396,39266.666666666664,39778.57142857143,40393.333333333336,41428.333333333336,39077.18658832302,39699.56741409811,40292.036247333795,40153.04138209704,97.79286926994907,96.53438678398277,95.06519227595312,92.69018787464294,0.5964912280701754,410.0364894857629,-449.8667744015318
2021-02-19,38450,50,38400,38750,37250,727610,38750.0,39535.71428571428,40213.333333333336,41388.333333333336,38763.59329416151,39387.17556054199,40061.776433638704,40042.635764306855,99.22580645161291,97.25383920505872,95.61505305039788,92.90057584665566,0.5622641509433962,244.0244257051475,-459.2381617755318
2021-02-22,37700,-750,38450,38600,37650,789715,38183.333333333336,39235.71428571428,40053.333333333336,41285.0,38231.79664708076,38965.381670374496,39766.54845277663,39890.813627066134,98.73417721518987,96.08592754414711,94.12450066577895,91.31645876226231,0.5186721991701244,163.9934533551554,-490.5744659759116
2021-02-23,37850,150,37700,38300,37250,694437,38000.0,38828.57142857143,40033.333333333336,41155.0,38040.89832354038,38686.53625276501,39526.97568796579,39758.590681848786,99.60526315789474,97.47976453274467,94.54621149042464,91.96938403596161,0.7267441860465116,127.7108962129689,-475.5840326782141
2021-02-24,36350,-1500,37850,38000,36300,878863,37300.0,38307.142857142855,39673.333333333336,40935.0,37195.449161770186,38102.402189548826,39129.847623188536,39537.81069628082,97.45308310991958,94.89091926160731,91.62325659553015,88.79931598876267,0.7908163265306122,136.66267665098522,-536.3928130256912
2021-02-25,37750,1400,37050,37750,36750,916648,37316.666666666664,37985.71428571428,39386.666666666664,40768.333333333336,37472.72458088509,38014.3016421588,38957.36435063475,39422.04085721135,101.1612326931666,99.37946596464838,95.84461746784022,92.59637790768979,0.7560975609756098,93.52172484392015,-455.50715032849257
2021-02-26,36350,-1400,36400,36900,35900,911006,36816.666666666664,37550.0,38943.333333333336,40553.333333333336,36911.36229044254,37598.226231609115,38631.43997148763,39223.15810581212,98.73245812584881,96.80426098535287,93.34075151930155,89.635048495808,0.7395833333333333,114.40371072380704,-467.45462494787637
2021-03-02,37000,650,37000,37200,36350,718560,37033.333333333336,37350.0,38680.0,40356.666666666664,36955.68114522127,37448.66967370414,38427.507875250645,39079.26385818493,99.9099909990999,99.06291834002677,95.65667011375389,91.68249772858678,0.671875,87.94822354752424,-405.2402406018358
2021-03-03,37500,500,36700,37550,36600,446769,36950.0,37214.28571428572,38493.333333333336,40210.0,37227.840572610636,37461.502255278276,38311.56834628731,38977.06712551081,101.48849797023006,100.76775431861805,97.41946657429857,93.26038298930615,0.6331658291457286,73.79123154069126,-308.4392365550897
2021-03-04,36450,-1050,37150,37150,35950,810717,36983.333333333336,37035.71428571428,38246.666666666664,39988.333333333336,36838.92028630532,37208.62669145614,38078.87046857164,38813.56846550999,98.55790896800359,98.4185149469624,95.30242286909535,91.15158587921476,0.6572769953051643,89.73929111622736,-293.14164416543736
2021-03-05,36000,-450,35950,36150,35400,549052,36650.0,36771.42857142857,37993.333333333336,39705.0,36419.46014315266,36906.47001858981,37819.00986750846,38631.566740457914,98.22646657571623,97.90209790209789,94.75346552026672,90.66868152625614,0.7303921568627451,95.88108633743127,-290.81436936718626
2021-03-08,36350,350,36500,37400,36200,576770,36266.666666666664,36771.42857142857,37703.333333333336,39450.0,36384.73007157633,36767.352513941565,37635.38252575769,38484.00392705442,100.22977941176472,98.85392385392386,96.41057377773848,92.14195183776933,0.6852791878172589,55.86951527682046,-245.07027147708607
2021-03-09,38000,1650,36600,38000,36300,1279560,36783.333333333336,36807.142857142855,37570.0,39266.666666666664,37192.36503578816,37075.51438545749,37680.95995074159,38452.70545252698,103.30765745355686,103.24083058412576,101.14453021027417,96.7741935483871,0.5869565217391305,24.200270917995148,-91.0588268167221
2021-03-10,37050,-950,38500,38500,36700,1051091,37133.333333333336,36907.142857142855,37373.333333333336,39083.333333333336,37121.18251789408,37069.135789093096,37602.089592434844,38362.01202860397,99.77558348294434,100.38707180181925,99.13485551195147,94.79744136460553,0.5991561181434599,20.887378419503758,-42.844353447581625
2021-03-11,38050,1000,37300,38550,37200,1371296,37700.0,37057.142857142855,37283.333333333336,38941.666666666664,37585.59125894704,37314.351841820404,37658.07861976768,38341.84137932681,100.9283819628647,102.6792598303778,102.05632543585156,97.71025037449176,0.5147679324894515,0.4750427887805261,60.98017443701917
2021-03-12,39050,1000,38700,39150,38300,1081889,38050.0,37278.57142857143,37326.666666666664,38860.0,38317.79562947352,37748.26388136609,37832.06940787493,38387.61573541344,102.6281208935611,104.7518681739797,104.61689587426326,100.48893463715902,0.47656250000000006,-34.078518952980296,194.08117069612774
2021-03-15,40350,1300,39300,41150,38900,1999652,39150.0,37835.71428571428,37453.333333333336,38833.333333333336,39333.89781473676,38398.69791102545,38146.81170625214,38514.44590722786,103.06513409961686,106.64527090806118,107.73406906372374,103.90557939914163,0.40074906367041196,-90.46273876782377,357.24846352072734
2021-03-16,40850,500,40900,41250,40400,884835,40083.333333333336,38528.57142857143,37663.333333333336,38858.333333333336,40091.94890736838,39011.52343326971,38484.711158264545,38665.37700296409,101.9126819126819,106.02521319985169,108.46092574564119,105.1254557152048,0.39051094890510946,-135.07688441725378,478.8714791876736
2021-03-17,40750,-100,41000,41050,39850,795811,40650.0,39157.142857142855,37856.666666666664,38945.0,40420.97445368419,39446.14257495261,38767.87293462557,38800.077686548,100.2460024600246,104.0678584458227,107.64286343224443,104.63474130183592,0.3211382113821138,-140.9243498016344,528.7192743569076
2021-03-18,40650,-100,41100,41750,40600,803809,40750.0,39535.71428571428,38143.333333333336,38908.333333333336,40535.487226842095,39747.10693121463,39003.13930571786,38919.60089763459,99.75460122699387,102.81842818428184,106.57170322467884,104.47633326194045,0.36818181818181817,-201.02147351787545,529.7615179176421
2021-03-19,40500,-150,40150,41000,39700,823966,40633.333333333336,40028.57142857143,38326.666666666664,38856.666666666664,40517.743613421044,39935.33019841105,39190.24723204195,39021.700684003015,99.67186218211648,101.1777301927195,105.67055140024353,104.22921849532469,0.28717948717948716,-201.67079776002882,495.7618072911988
2021-03-22,40800,300,40800,41000,40400,799870,40650.0,40421.42857142857,38623.333333333336,38783.333333333336,40658.87180671052,40151.49764880836,39391.466647539884,39136.57550494513,100.36900369003689,100.93656122989927,105.63562613273496,105.19982810485604,0.2978723404255319,-331.8631938087705,469.15650141877734
2021-03-23,42200,1400,41050,43500,41050,3365817,41166.666666666664,40871.42857142857,38970.0,38825.0,41429.43590335526,40663.6232366064,39742.533804354454,39334.45078975476,102.51012145748987,103.25061167423976,108.28842699512447,108.69285254346426,0.27184466019417475,-1362.9563135846693,517.6838259057391
2021-03-24,42250,50,42250,42350,41000,1196899,41750.0,41142.857142857145,39286.666666666664,38890.0,41839.71795167763,41060.217427454874,40055.967459847045,39522.75994495397,101.19760479041918,102.69097222222221,107.54284744612252,108.63975314991,0.1881720430107527,2225.689929201006,523.4586505537666
2021-03-25,42250,0,41900,42550,41550,1040241,42233.333333333336,41342.857142857145,39673.333333333336,38960.0,42044.85897583881,41357.663070591196,40330.221819097445,39698.89397166319,100.0394632991318,102.19419488597097,106.49470677197108,108.44455852156058,0.14689265536723162,520.6594748626106,497.7516223203587
2021-03-26,43450,1200,42650,43650,42650,1424298,42650.0,41728.57142857143,40170.0,39081.666666666664,42747.429487919406,41880.74730294345,40720.19445468103,39941.1363310719,101.87573270808909,104.12529955494693,108.16529748568584,111.17744893172417,0.13402061855670103,370.39584288552714,529.083043991031
2021-03-29,44250,800,44000,44950,43600,1837509,43316.666666666664,42242.857142857145,40696.666666666664,39200.0,43498.7147439597,42473.06047720763,41161.42050718685,40219.38060405968,102.15467487495191,104.75143726750085,108.73126382177082,112.88265306122449,0.14689265536723162,278.78697266452366,567.7985832794081
2021-03-30,42900,-1350,44850,45000,42550,1949741,43533.333333333336,42585.71428571428,41023.333333333336,39296.666666666664,43199.35737197985,42579.795357905736,41378.74309865535,40392.47106329344,98.54517611026033,100.73800738007381,104.57463232306816,109.16956484858767,0.18378378378378377,167.13792020106843,470.64824865835067
2021-03-31,43000,100,42900,43700,42200,1020695,43383.333333333336,42900.0,41420.0,39396.666666666664,43099.67868598993,42684.8465184293,41581.400337687555,40560.832743722516,99.11640414905877,100.23310023310023,103.81458232737808,109.14628987223962,0.20359281437125748,110.67113924689117,384.87139302411333
2021-04-01,41700,-1300,43400,43400,41500,1600795,42533.333333333336,42828.57142857143,41663.333333333336,39473.333333333336,42399.839342994965,42438.634888821965,41596.22530356503,40634.382170044155,98.04075235109717,97.36490993995997,100.08800704056324,105.64093903056914,0.3468208092485549,60.56537629596471,220.5183946319289
2021-04-02,41850,150,41950,42150,40850,1422215,42183.333333333336,42771.42857142857,41850.0,39588.333333333336,42124.91967149748,42291.47616661648,41627.94715576325,40712.86379380058,99.20979849861715,97.84569138276554,100.0,105.71296257314864,0.3999999999999999,26.707379134859824,107.54338247386909
2021-04-05,42300,450,41800,42800,41550,1303449,41950.0,42778.57142857143,41980.0,39716.666666666664,42212.45983574874,42293.607124962364,41711.95379638414,40815.3264446367,100.83432657926103,98.88128235097679,100.76226774654597,106.50440621065884,0.4026845637583893,34.71232477560503,51.59002498263237
2021-04-06,42300,0,42750,43100,42100,1159491,42150.0,42614.28571428572,42076.666666666664,39870.0,42256.22991787437,42295.20534372177,41785.459598702895,40911.17025964913,100.35587188612101,99.26248742876298,100.53077715281628,106.09480812641084,0.3945578231292517,34.110896806045986,5.479945603334386
2021-04-07,42650,350,42650,42700,41850,782594,42416.666666666664,42385.71428571428,42203.333333333336,40030.0,42453.114958937185,42383.90400779132,41893.527183426915,41023.41683226297,100.55009823182712,100.62352544657904,101.05836821736038,106.5450911816138,0.3684210526315789,23.200056413511046,-9.723415418314971
2021-04-08,45400,2750,43100,45900,42400,4408925,43450.0,42742.857142857145,42520.0,40331.666666666664,43926.557479468596,43137.928005843496,42331.83640815506,41305.9277450777,104.48791714614501,106.21657754010694,106.77328316086547,112.56663498491675,0.2598039215686274,70.9494410145168,148.40298039796699
2021-04-09,45450,50,45650,46350,44700,1911508,44500.0,43092.857142857145,42850.0,40588.333333333336,44688.2787397343,43715.94600438263,42721.60695257494,41573.42073611367,102.13483146067415,105.4699154649428,106.0676779463244,111.97799039132754,0.2663316582914573,83.11804293050112,234.2604357340557
2021-04-12,44750,-700,45600,45650,44150,1092795,45200.0,43528.57142857143,43113.333333333336,40868.333333333336,44719.139369867145,43974.45950328698,42975.15613782665,41778.45705446095,99.00442477876106,102.80603872661635,103.79619607236741,109.49798132213205,0.3621621621621621,60.365032399011575,221.9296195631846
2021-04-13,43700,-1050,45000,45000,43400,1577508,44633.333333333336,43792.857142857145,43213.333333333336,41091.666666666664,44209.56968493357,43905.84462746523,43065.761637584226,41902.48173215509,97.90888722927558,99.78796281193932,101.12619561863623,106.34759683634152,0.4292682926829268,36.56498804102115,125.86312984849314
2021-04-14,44000,300,43700,44250,43300,801091,44150.0,44035.71428571428,43330.0,41308.333333333336,44104.78484246679,43929.38347059893,43182.541452042424,42037.860800790026,99.66024915062289,99.91889699918897,101.54627279021464,106.51603792616501,0.41706161137440756,28.297370214539722,68.20537569145017
2021-04-15,44150,150,44050,44650,43750,658721,43950.0,44300.0,43456.666666666664,41565.0,44127.392421233395,43984.537602949196,43303.47378789484,42174.1799462616,100.45506257110353,99.66139954853274,101.59545907800876,106.219174786479,0.4631578947368421,34.21857846915665,27.91705381625843
2021-04-16,44850,700,44650,45400,44300,1021858,44333.333333333336,44614.28571428572,43550.0,41860.0,44488.6962106167,44200.9032022119,43496.789588686705,42346.875242959104,101.1654135338346,100.52833813640729,102.98507462686568,107.14285714285714,0.4680851063829787,47.28770235728487,35.66027418020258
2021-04-19,45500,650,45250,45650,44900,774708,44833.333333333336,44628.57142857143,43633.333333333336,42165.0,44994.34810530835,44525.677401658926,43747.19091761799,42550.37070966096,101.48698884758365,101.95262483994878,104.27807486631015,107.90940353373651,0.3505747126436782,55.5934801614392,69.83124595078766
2021-04-20,46000,500,45500,46300,45450,936558,45450.0,44707.142857142855,43840.0,42431.666666666664,45497.174052654176,44894.25805124419,44028.79207999326,42772.9970958177,101.21012101210121,102.89183575651062,104.92700729927007,108.40959974861543,0.3351648351648352,68.80427521710088,109.04457559228354
2021-04-21,46000,0,45750,46550,45400,1146355,45833.333333333336,44885.71428571428,44040.0,42730.0,45748.58702632709,45170.693538433145,44275.193090725326,42981.25178861454,100.36363636363636,102.48249522597072,104.4504995458674,107.65270301895625,0.22435897435897437,66.1918779476467,117.2080360437235
2021-04-22,46100,100,46400,46450,45900,570776,46033.333333333336,45228.57142857143,44333.333333333336,42998.333333333336,45924.293513163546,45403.02015382486,44503.29397117724,43182.51646096167,100.1448225923244,101.92672141503473,103.98496240601503,107.21345788596457,0.22580645161290322,66.73153012907814,111.59629179429658
2021-04-23,46250,150,45900,46400,45450,675512,46116.666666666664,45550.0,44626.666666666664,43238.333333333336,46087.14675658177,45614.765115368646,44721.63223884472,43380.46933125574,100.28912179255511,101.53677277716795,103.63758589781895,106.96527001503296,0.23489932885906042,61.8751024422226,100.58106537932144
2021-04-26,47450,1200,46500,47450,46200,882220,46600.0,46021.42857142857,44970.0,43475.0,46768.57337829089,46073.573836526484,45062.67822821206,43643.08262654439,101.82403433476395,103.1041440322831,105.51478763620193,109.14318573893043,0.20231213872832368,94.56854356129844,153.53171015330986
2021-04-27,48300,850,47600,48400,46750,949898,47333.333333333336,46514.28571428572,45370.0,43723.333333333336,47534.28668914545,46630.18037739486,45467.34346964326,43943.59627435403,102.04225352112675,103.83906633906632,106.45801190213797,110.46733246931461,0.19125683060109291,114.74464342359475,221.11464175398896
2021-04-28,47050,-1250,48500,48850,46550,1165353,47600.0,46735.71428571428,45663.333333333336,43933.333333333336,47292.14334457272,46735.13528304615,45665.17554447513,44144.05145457486,98.84453781512606,100.67247440012228,103.03671800861376,107.09408194233687,0.39215686274509803,95.35958027947753,159.81223990577905
2021-04-29,46800,-250,46150,47800,45750,1510795,47383.333333333336,46850.0,45756.666666666664,44138.333333333336,47046.07167228636,46751.351462284605,45807.0286067721,44315.43659536684,98.76890608512134,99.89327641408752,102.28017775187588,106.03028357814446,0.4140127388535032,62.99551878662553,84.3906379118564
2021-04-30,44150,-2650,46850,46900,44150,1429768,46000.0,46585.71428571428,45670.0,44260.0,45598.03583614318,46101.01359671345,45599.900024082075,44304.76130750546,95.97826086956522,94.77154247163448,96.67177578278958,99.75146859466787,0.5306122448979592,-2.1752869762040374,-149.2747116304347
2021-05-03,43500,-650,43600,44700,43100,1067147,44816.666666666664,46214.28571428572,45586.666666666664,44350.0,44549.01791807159,45450.760197535084,45337.41251348332,44252.83230798325,97.06210487169952,94.12673879443585,95.4226381983036,98.08342728297632,0.5106382978723405,-54.486800280794895,-341.9053226127396
2021-05-04,43250,-250,43400,43650,42300,848264,43633.333333333336,45785.71428571428,45556.666666666664,44385.0,43899.5089590358,44900.57014815131,45076.485942697465,44188.12305685168,99.1214667685256,94.46177847113886,94.9367088607595,97.44282978483722,0.5401069518716577,-90.65718617660926,-472.4129059616323
2021-05-06,44950,1700,43250,45200,42850,941209,43900.0,45428.57142857143,45620.0,44475.0,44424.7544795179,44912.92761111348,45060.675199510326,44237.28379404328,102.39179954441913,98.94654088050314,98.53134590092066,101.06801573917932,0.463302752293578,-44.24729692265039,-431.62490646172137
2021-05-07,45650,700,45300,46150,45100,665741,44616.666666666664,45050.0,45720.0,44588.333333333336,45037.37723975895,45097.19570833511,45134.340800998245,44328.43958694836,102.31602540156892,101.33185349611541,99.84689413823273,102.38104137853699,0.463302752293578,12.01527024311857,-348.4418663366463
