,index,nouns
853,5,식
854,5,필요
855,5,창원
856,5,시공
857,5,김희석
858,5,소
859,5,펀드
860,5,시장
861,5,복합
862,5,기반
863,5,본부
864,5,보수
865,5,원
866,5,업진
867,5,제공
868,5,업무
869,5,대표
870,5,조달
871,5,간
872,5,상업
873,5,뉴스
874,5,은행장
875,5,한편
876,5,경상남도
877,5,주유소
878,5,공단
879,5,서명식
880,6,산업단지
881,6,영하
882,6,하루
883,6,활성
884,6,생산
885,6,남도
886,6,공급
887,6,중공업
888,6,동안
889,6,정보
890,6,정연인
891,6,원장
892,6,네이버
893,6,하나
894,6,운용
895,6,분의
896,6,플랜트
897,6,배포
898,6,지역
899,6,산중
900,6,준공
901,6,설계
902,6,청정에너지
903,6,기체
904,6,안건
905,6,방식
906,6,절반
907,6,차
908,6,박인원
909,6,흥원
910,6,왼쪽
911,6,말
912,6,개선
913,6,기자
914,6,규모
915,6,축소
916,6,일리
917,6,내
918,6,자산
919,6,장
920,6,의결
921,6,시청
922,6,경남
923,6,수행
924,6,발표
925,6,발전
926,6,일
927,6,경남은행
928,6,향후
929,6,촬영
930,6,기념
931,6,도입
932,6,확약
933,6,무화
934,6,황윤철
935,6,도심지
936,6,전재
937,6,부지사
938,6,한국
939,6,행정
940,6,사업비
941,6,계약
942,6,가운데
943,6,운전
944,6,사업
945,6,지원
946,6,진흥
947,6,운송
948,6,타임
949,6,지난달
950,6,저장
951,6,편리
952,6,구매
953,6,년
954,6,제도
955,6,대체
956,6,산업
957,6,심의
958,6,청춘
959,6,인프라
960,6,정부
961,6,최선
962,6,해소
963,6,액화
964,6,이사
965,6,환경
966,6,침
967,6,금지
968,6,건설
969,6,이동찬
970,6,예정
971,6,국내
972,6,시간
973,6,무단
974,6,지난해
975,6,백정
976,6,계영
977,6,구축
978,6,유지
979,6,창원시
980,6,미디어
981,6,본관
982,6,억
983,6,성공
984,6,부지
985,6,전국
986,6,액체
987,6,박종원
988,6,공장
989,6,액화석유가스
990,6,사진
991,6,투자
992,6,민간
993,6,허성무
994,6,종합
995,6,충전
996,6,이번
997,6,추진
998,6,공단
999,6,선정
1000,6,기여
1001,6,것
1002,6,수소
1003,6,두산
1004,6,공업
1005,6,뉘
1006,6,경제
1007,6,체결
1008,6,등
1009,6,필요
1010,6,데일리
1011,6,창원
1012,6,스냅
1013,6,시공
1014,6,초
1015,6,김희석
1016,6,소
1017,6,펀드
1018,6,시장
1019,6,위원회
1020,6,복합
1021,6,개
1022,6,기반
1023,6,업무
1024,6,보수
1025,6,원
1026,6,업진
1027,6,본부
1028,6,대표
1029,6,데
1030,6,상업
1031,6,경
1032,6,우스
1033,6,뉴스
1034,6,상태
1035,6,관련
1036,6,때
1037,6,은행장
1038,6,로드맵
1039,6,경상남도
1040,6,주유소
1041,6,부피
1042,6,가능
1043,6,서명식
1044,7,산업단지
1045,7,영하
1046,7,하루
1047,7,활성
1048,7,생산
1049,7,공급
1050,7,중공업
1051,7,원장
1052,7,정연인
1053,7,네이버
1054,7,하나
1055,7,운용
1056,7,참석
1057,7,분의
1058,7,플랜트
1059,7,배포
1060,7,시설
1061,7,지역
1062,7,소충
1063,7,산중
1064,7,준공
1065,7,설계
1066,7,제조
1067,7,기체
1068,7,방식
1069,7,절반
1070,7,차
1071,7,박인원
1072,7,흥원
1073,7,왼쪽
1074,7,말
1075,7,개선
1076,7,메인
1077,7,기자
1078,7,레터
1079,7,규모
1080,7,극저온
1081,7,내
1082,7,자산
1083,7,장
1084,7,시청
1085,7,경남
1086,7,목표
1087,7,수행
1088,7,수
1089,7,금액
1090,7,일
1091,7,촬영
1092,7,경남은행
1093,7,기념
1094,7,확약
1095,7,황윤철
1096,7,관계자
1097,7,전재
1098,7,부지사
1099,7,한국
1100,7,중
1101,7,행정
