,index,nouns
1301,8,억
1302,8,구매
1303,8,전재
1304,8,산업단지
1305,8,구축
1306,8,업무
1307,8,두산
1308,8,경
1309,8,서명식
1310,8,매일
1311,8,결식
1312,8,창원
1313,8,환경
1314,8,추진
1315,8,생산
1316,8,년
1317,8,선정
1318,8,기자
1319,8,남도
1320,8,기념
1321,8,성공
1322,8,뉴스
1323,8,한국
1324,9,원장
1325,9,시장
1326,9,지역
1327,9,이번
1328,9,김희석
1329,9,업진
1330,9,중
1331,9,레터
1332,9,사업비
1333,9,부지
1334,9,보수
1335,9,사진
1336,9,박종원
1337,9,산중
1338,9,왼쪽
1339,9,기여
1340,9,경제
1341,9,유지
1342,9,경남은행
1343,9,개선
1344,9,진흥
1345,9,제공
1346,9,활성
1347,9,예정
1348,9,방식
1349,9,전국
1350,9,행정
1351,9,상업
1352,9,바
1353,9,본관
1354,9,공업
1355,9,내
1356,9,충전
1357,9,과정
1358,9,네이버
1359,9,등
1360,9,촬영
1361,9,인프라
1362,9,운용
1363,9,위치
1364,9,제조
1365,9,수행
1366,9,것
1367,9,건설
1368,9,백정
1369,9,시청
1370,9,투자
1371,9,플랜트
1372,9,지원
1373,9,확약
1374,9,기반
1375,9,본부
1376,9,사업
1377,9,규모
1378,9,금지
1379,9,은행장
1380,9,운전
1381,9,경남
1382,9,향후
1383,9,민간
1384,9,부지사
1385,9,허성무
1386,9,정연인
1387,9,대표
1388,9,메인
1389,9,액화
1390,9,산업
1391,9,경상남도
1392,9,황윤철
1393,9,이사
1394,9,목표
1395,9,계약
1396,9,최선
1397,9,수소
1398,9,공급
1399,9,소
1400,9,공장
1401,9,공단
1402,9,국내
1403,9,흥원
1404,9,이상규
1405,9,박인원
1406,9,장
1407,9,체
1408,9,배포
1409,9,구독
1410,9,영상
1411,9,펀드
1412,9,참석
1413,9,대체
1414,9,무단
1415,9,간
1416,9,체결
1417,9,이동찬
1418,9,금액
1419,9,하루
1420,9,하나
1421,9,관계자
1422,9,원
1423,9,창원시
1424,9,중공업
1425,9,준공
1426,9,일
1427,9,말
1428,9,자산
1429,9,억
1430,9,구매
1431,9,전재
1432,9,산업단지
1433,9,구축
1434,9,업무
1435,9,두산
1436,9,경
1437,9,서명식
1438,9,매일
1439,9,결식
1440,9,창원
1441,9,환경
1442,9,추진
1443,9,생산
1444,9,년
1445,9,선정
1446,9,기자
1447,9,남도
1448,9,기념
1449,9,성공
1450,9,뉴스
1451,9,한국
1452,10,이번
1453,10,테슬라
1454,10,영하
1455,10,중
1456,10,사업비
1457,10,부지
1458,10,보수
1459,10,산중
1460,10,기여
1461,10,경제
1462,10,시공
1463,10,유지
1464,10,경남은행
1465,10,저장
1466,10,개선
1467,10,분의
1468,10,활성
1469,10,예정
1470,10,원인
1471,10,방식
1472,10,전국
1473,10,행정
1474,10,상업
1475,10,바
1476,10,공업
1477,10,내
1478,10,충전
1479,10,네이버
1480,10,청정에너지
1481,10,등
1482,10,사도
1483,10,인프라
1484,10,부피
1485,10,사장
1486,10,수행
1487,10,것
1488,10,건설
1489,10,투자
1490,10,플랜트
1491,10,지원
1492,10,기반
1493,10,확약
1494,10,사업
1495,10,규모
1496,10,금지
1497,10,운전
1498,10,경남
1499,10,향후
1500,10,민간
1501,10,최만수
1502,10,정연인
1503,10,운송
1504,10,액화
1505,10,애플
1506,10,경상남도
1507,10,극저온
1508,10,한경
1509,10,계약
1510,10,수소
1511,10,공급
1512,10,소
1513,10,공장
1514,10,국내
1515,10,공단
1516,10,배포
1517,10,모바일
1518,10,구독
1519,10,펀드
1520,10,무단
1521,10,간
1522,10,조달
1523,10,하루
1524,10,금액
1525,10,원
1526,10,창원시
1527,10,중공업
1528,10,준공
1529,10,일
1530,10,말
1531,10,억
1532,10,구매
1533,10,전재
1534,10,산업단지
1535,10,구축
1536,10,업무
1537,10,두산
1538,10,신청
