date,close,diff,start,high,low,volume
2018-06-14,93600,3600,91400,94100,91000,1444370
2018-06-15,90900,-2700,94500,94500,90800,990542
2018-06-18,89200,-1700,91000,92400,88500,767776
2018-06-19,85200,-4000,88200,89900,85100,1012856
2018-06-20,86200,1000,85100,87400,85000,645081
2018-06-21,82000,-4200,86300,87200,82000,1395643
2018-06-22,82300,300,81300,83100,81100,751430
2018-06-25,85000,2700,82300,85000,81800,636705
2018-06-26,83900,-1100,84300,84700,82500,537279
2018-06-27,83700,-200,84000,85300,83300,507804
2018-06-28,80900,-2800,82900,83300,80800,715235
2018-06-29,83000,2100,81200,83100,80800,621098
2018-07-02,79700,-3300,83100,83100,79500,682443
2018-07-03,79900,200,80200,80900,79100,530738
2018-07-04,77700,-2200,79500,80300,77400,587475
2018-07-05,77800,100,77000,78800,76000,706939
2018-07-06,75700,-2100,77100,78300,73500,1722781
2018-07-09,77700,2000,75100,78100,75100,799335
2018-07-10,78200,500,77700,79300,77400,712585
2018-07-11,76600,-1600,78400,78400,75800,759985
2018-07-12,75200,-1400,76400,76400,75100,946355
2018-07-13,77600,2400,75900,77800,75900,935008
2018-07-16,76400,-1200,77600,78200,76400,553500
2018-07-17,78800,2400,76100,79700,75200,1323914
2018-07-18,80700,1900,78600,82200,78600,1191864
2018-07-19,82300,1600,81000,83100,80000,1164716
2018-07-20,81000,-1300,82100,83100,81000,829497
2018-07-23,78400,-2600,80900,81200,78100,739344
2018-07-24,81000,2600,78200,81700,76800,991504
2018-07-25,80800,-200,80500,82400,79800,772980
2018-07-26,81800,1000,81400,82200,80300,725896
2018-07-27,76000,-5800,80300,80400,75800,2544391
2018-07-30,75200,-800,76300,76400,74800,997710
2018-07-31,74800,-400,75400,75600,74800,725430
2018-08-01,75300,500,75500,76200,75000,761449
2018-08-02,75100,-200,75100,76100,74800,616998
2018-08-03,75200,100,75400,75700,74400,582491
2018-08-06,74400,-800,75400,75900,74200,685629
2018-08-07,75100,700,75000,75500,74100,723231
2018-08-08,75900,800,75400,77300,75400,1286104
2018-08-09,80400,4500,76400,80500,76000,2132947
2018-08-10,79000,-1400,80000,80700,78700,961866
2018-08-13,76300,-2700,78200,78400,75800,840750
2018-08-14,73600,-2700,76100,76200,70900,2397515
2018-08-16,73300,-300,72500,73900,71300,920959
2018-08-17,72400,-900,74100,74100,72400,849229
2018-08-20,72200,-200,72800,73500,71900,670001
2018-08-21,73400,1200,72300,73500,70800,1404794
2018-08-22,73200,-200,73800,75600,73200,1110406
2018-08-23,74600,1400,73600,74600,72700,879090
2018-08-24,74700,100,74100,75200,73400,815946
2018-08-27,74300,-400,74400,75200,73700,863531
2018-08-28,73700,-600,75100,75800,73600,903687
2018-08-29,77200,3500,74200,77500,73600,1417794
2018-08-30,76400,-800,77300,77400,75800,1006172
2018-08-31,76800,400,75800,77100,75300,762868
2018-09-03,76700,-100,76800,78800,76600,924434
2018-09-04,78100,1400,77200,79200,77100,922362
2018-09-05,76200,-1900,77800,78500,76100,873220
2018-09-06,74400,-1800,75900,76200,74000,1144654
2018-09-07,74300,-100,74200,75100,73400,670262
2018-09-10,73100,-1200,74200,74300,73000,858482
2018-09-11,72800,-300,73000,74300,72500,712081
2018-09-12,72100,-700,73200,73500,71900,852910
2018-09-13,71500,-600,72400,72800,71100,971252
2018-09-14,72100,600,72100,72800,71700,809166
2018-09-17,71900,-200,72400,73200,71800,521629
2018-09-18,69000,-2900,71200,71500,68400,2606048
2018-09-19,68200,-800,69400,69400,67900,1494446
2018-09-20,69000,800,68300,70000,68200,1194328
2018-09-21,69500,500,69600,70100,69100,760994
2018-09-27,69600,100,69100,70100,68500,897762
2018-09-28,71000,1400,70000,71900,69900,1255496
2018-10-01,71100,100,71000,71500,70200,558633
2018-10-02,69900,-1200,70700,71300,69900,600630
2018-10-04,69000,-900,69700,70200,68400,681480
2018-10-05,70500,1500,68600,71200,68000,952571
2018-10-08,67800,-2700,69600,69700,67800,922338
2018-10-10,65200,-2600,67200,67300,65200,1103556
2018-10-11,62300,-2900,62400,63900,61600,1441637
2018-10-12,64400,2100,62100,65100,62100,1114941
2018-10-15,64300,-100,64400,65500,63800,434965
2018-10-16,63500,-800,64300,65000,63400,508133
2018-10-17,64600,1100,64500,65800,64000,676861
2018-10-18,64900,300,64700,66000,64400,499578
2018-10-19,65700,800,64400,66000,63200,581306
2018-10-22,65700,0,64600,66300,64600,354570
2018-10-23,63600,-2100,65200,65300,63100,597221
2018-10-24,64500,900,64200,64700,63500,543722
2018-10-25,62700,-1800,62700,63400,61700,661062
2018-10-26,61100,-1600,63100,63900,60500,920580
2018-10-29,59400,-1700,60900,61900,59100,683052
2018-10-30,61200,1800,58800,61700,58800,811009
2018-10-31,63300,2100,61500,63800,61000,819823
2018-11-01,66000,2700,63700,66500,63400,1056023
2018-11-02,67200,1200,66600,67700,66200,792881
2018-11-05,67600,400,67000,68000,66200,503725
2018-11-06,68000,400,67600,68800,67100,497920
2018-11-07,67300,-700,68400,69200,66600,738870
2018-11-08,69900,2600,68800,70700,68300,1080894
2018-11-09,71400,1500,70000,72300,69700,1129981
2018-11-12,71200,-200,71000,72200,70000,631830
2018-11-13,70200,-1000,70200,71400,68800,680494
