date,close,diff,start,high,low,volume
2010-12-02,107000,2000,106500,109000,105000,395196
2010-12-03,105000,-2000,106000,107000,102000,730445
2010-12-06,108500,3500,104500,110000,104000,475090
2010-12-07,110500,2000,108500,111000,107000,489934
2010-12-08,109000,-1500,110000,112000,108000,279316
2010-12-09,108000,-1000,107500,110000,106500,417669
2010-12-10,105000,-3000,107500,108000,104000,478323
2010-12-13,106500,1500,104500,108000,103500,491174
2010-12-14,107500,1000,107500,108500,105000,274937
2010-12-15,109500,2000,108000,112000,106500,461747
2010-12-16,112000,2500,108500,113000,108500,331967
2010-12-17,112000,0,113000,113000,109000,522901
2010-12-20,110500,-1500,109500,112000,108000,234123
2010-12-21,110000,-500,112000,112500,108000,377258
2010-12-22,105500,-4500,108500,109500,104000,501699
2010-12-23,107000,1500,105500,107000,104500,236744
2010-12-24,103500,-3500,108000,108000,103000,152535
2010-12-27,104000,500,102500,106000,102500,169997
2010-12-28,114000,10000,105500,115000,105500,724129
2010-12-29,117000,3000,115500,117500,113500,411648
2010-12-30,116000,-1000,116000,118000,114500,263668
2011-01-03,118000,2000,116500,119500,116000,266762
2011-01-04,122500,4500,118000,123000,117000,393288
2011-01-05,119500,-3000,121000,122500,118500,449570
2011-01-06,122500,3000,120000,123500,118000,427604
2011-01-07,122000,-500,122000,123000,120000,173750
2011-01-10,120500,-1500,121000,122500,119000,192257
2011-01-11,126500,6000,122000,126500,120000,297408
2011-01-12,125500,-1000,127500,131000,125500,438154
2011-01-13,124000,-1500,125000,126500,121500,474211
2011-01-14,127500,3500,122000,128500,122000,459738
2011-01-17,127000,-500,127000,131500,127000,505184
2011-01-18,127500,500,127000,128500,125000,211602
2011-01-19,125500,-2000,127000,128500,124000,298965
2011-01-20,127500,2000,125500,129500,125000,303213
2011-01-21,120000,-7500,126000,126500,120000,517736
2011-01-24,118500,-1500,120000,123500,118500,316170
2011-01-25,124500,6000,121500,128000,120500,547981
2011-01-26,126000,1500,124500,128000,122000,300368
2011-01-27,130500,4500,126500,132000,126500,389362
2011-01-28,128000,-2500,129000,131500,128000,365036
2011-01-31,119000,-9000,123500,124500,118500,650216
2011-02-01,116500,-2500,122000,122000,116000,416135
2011-02-07,116000,-500,118500,119500,115500,295842
2011-02-08,113000,-3000,118500,119500,112500,502745
2011-02-09,115500,2500,114500,119000,114000,489270
2011-02-10,111000,-4500,116500,117000,108000,672761
2011-02-11,110000,-1000,112500,116500,108000,503610
2011-02-14,115500,5500,112000,116000,109000,366511
2011-02-15,112500,-3000,114000,115000,110000,521690
2011-02-16,107500,-5000,112500,114500,107500,315166
2011-02-17,103500,-4000,108000,109000,101000,595979
2011-02-18,109500,6000,103500,110000,103500,520642
2011-02-21,105000,-4500,107500,110000,104500,514986
2011-02-22,99000,-6000,101500,102000,96700,868158
2011-02-23,98500,-500,99500,102000,96600,757964
2011-02-24,99500,1000,98400,101500,97200,722213
2011-02-25,103000,3500,101000,103500,99900,646969
2011-02-28,99300,-3700,102500,102500,98700,398757
2011-03-02,93400,-5900,97000,97600,92200,1035759
2011-03-03,97400,4000,93900,98000,93900,840408
2011-03-04,102000,4600,99900,103000,99300,1119656
2011-03-07,101000,-1000,101500,104000,100500,589027
2011-03-08,104500,3500,102000,106000,100000,479377
2011-03-09,104000,-500,106000,108500,103500,582389
2011-03-10,106000,2000,104500,106500,103000,511921
2011-03-11,102000,-4000,104000,104500,100000,466951
2011-03-14,101000,-1000,101000,104000,97900,455763
2011-03-15,98600,-2400,101000,103500,95000,396583
2011-03-16,98000,-600,99800,102500,95900,1066974
2011-03-17,98300,300,95100,98300,95100,535021
2011-03-18,104000,5700,99300,104500,97200,972002
2011-03-21,105000,1000,104500,107500,103000,606578
2011-03-22,103500,-1500,105000,105000,102000,486959
2011-03-23,109000,5500,105000,110000,105000,772166
2011-03-24,109000,0,110500,110500,107500,389396
2011-03-25,111500,2500,111000,112500,108500,451204
2011-03-28,107500,-4000,109500,110500,105000,475439
2011-03-29,108000,500,107500,108500,105500,223394
2011-03-30,111000,3000,107000,113000,106500,527677
2011-03-31,115000,4000,111500,116500,111000,595672
2011-04-01,115000,0,116000,117000,114000,494481
2011-04-04,116000,1000,116000,118500,114500,262233
2011-04-05,115000,-1000,116000,116500,113000,198741
2011-04-06,114000,-1000,115500,117000,113000,330501
2011-04-07,117500,3500,115000,118500,113000,454297
2011-04-08,126000,8500,118000,126500,117500,829449
2011-04-11,125500,-500,125000,128000,122000,446428
2011-04-12,123000,-2500,124000,130500,120000,968513
2011-04-13,123500,500,121500,124500,118000,554327
2011-04-14,122000,-1500,123500,128000,120000,638052
2011-04-15,121000,-1000,122000,124500,119000,263147
2011-04-18,123000,2000,119500,125000,116500,534556
2011-04-19,119000,-4000,122000,125500,119000,418056
2011-04-20,120500,1500,120000,123500,118500,363082
2011-04-21,117500,-3000,119500,124000,117500,434290
2011-04-22,118500,1000,117000,122000,116500,632631
2011-04-25,120500,2000,121000,123500,120500,340808
2011-04-26,120500,0,120000,123500,117500,484903
2011-04-27,127000,6500,121500,130500,121000,1025071
2011-04-28,126500,-500,128000,128500,124000,606548
2011-04-29,129000,2500,125500,129500,125000,485363
2011-05-02,130000,1000,132000,135000,130000,490330
2011-05-03,126000,-4000,129500,131000,125000,389183
2011-05-04,124000,-2000,126000,126500,123000,217414
2011-05-06,121000,-3000,122000,122500,119500,282817
2011-05-09,119000,-2000,120500,123500,118500,244438
2011-05-11,124000,5000,120500,125000,120000,343585
2011-05-12,119000,-5000,123000,125000,119000,338700
2011-05-13,117000,-2000,119000,122000,115000,389690
2011-05-16,114000,-3000,116000,116000,112500,289807
2011-05-17,113500,-500,114000,114500,111000,398585
2011-05-18,114500,1000,113500,115500,113000,391232
2011-05-19,108000,-6500,115500,116500,107000,574307
2011-05-20,105500,-2500,108000,108500,104000,617478
2011-05-23,104000,-1500,105000,107000,102000,342660
2011-05-24,107000,3000,104000,108000,104000,475034
2011-05-25,106500,-500,107000,109000,105000,325818
2011-05-26,110000,3500,108500,111500,107500,411000
2011-05-27,112000,2000,110000,114500,108000,456958
2011-05-30,112500,500,113000,115500,112500,236697
2011-05-31,115500,3000,112000,117000,111000,543366
2011-06-01,115500,0,118000,119500,115500,305928
2011-06-02,118500,3000,112500,120500,112500,603081
2011-06-03,120000,1500,120500,123000,119500,398748
2011-06-07,118000,-2000,117500,120000,116000,343304
2011-06-08,115000,-3000,117000,117500,113500,306372
2011-06-09,115000,0,115000,118000,114000,360338
2011-06-10,115000,0,116000,119000,115000,329840
2011-06-13,115000,0,114500,118000,111500,255712
2011-06-14,117500,2500,114500,119000,113500,340482
2011-06-15,120500,3000,118500,124000,117500,392768
2011-06-16,117500,-3000,119000,120500,115500,215824
2011-06-17,123500,6000,119500,123500,118500,622451
2011-06-20,124000,500,125500,130000,124000,599463
2011-06-21,125000,1000,126000,127500,121500,343287
2011-06-22,127500,2500,127000,129500,126000,242723
2011-06-23,124500,-3000,126000,127500,123500,247152
2011-06-24,126000,1500,125000,127500,122000,472910
2011-06-27,125500,-500,125000,126000,123000,161107
2011-06-28,129000,3500,127000,130500,126500,490493
